Código región,Región,Provincia,Código comuna,Comuna,poblacion_total,País o continente de nacimiento,poblacion_migrante,porcentaje
10,Los Lagos,Llanquihue,10101,Puerto Montt,277040.0,Total nacidos fuera del país,18588,6.71
10,Los Lagos,Llanquihue,10102,Calbuco,36474.0,Total nacidos fuera del país,956,2.62
10,Los Lagos,Llanquihue,10103,Cochamó,4199.0,Total nacidos fuera del país,111,2.64
10,Los Lagos,Llanquihue,10104,Fresia,12320.0,Total nacidos fuera del país,167,1.36
10,Los Lagos,Llanquihue,10105,Frutillar,22554.0,Total nacidos fuera del país,531,2.35
10,Los Lagos,Llanquihue,10106,Los Muermos,17162.0,Total nacidos fuera del país,365,2.13
10,Los Lagos,Llanquihue,10107,Llanquihue,18088.0,Total nacidos fuera del país,446,2.47
10,Los Lagos,Llanquihue,10108,Maullín,15063.0,Total nacidos fuera del país,209,1.39
10,Los Lagos,Llanquihue,10109,Puerto Varas,52942.0,Total nacidos fuera del país,2872,5.42
10,Los Lagos,Chiloé,10201,Castro,46997.0,Total nacidos fuera del país,2573,5.47
10,Los Lagos,Chiloé,10202,Ancud,40949.0,Total nacidos fuera del país,1033,2.52
10,Los Lagos,Chiloé,10203,Chonchi,16078.0,Total nacidos fuera del país,260,1.62
10,Los Lagos,Chiloé,10204,Curaco de Vélez,3662.0,Total nacidos fuera del país,0,0.0
10,Los Lagos,Chiloé,10205,Dalcahue,14894.0,Total nacidos fuera del país,307,2.06
10,Los Lagos,Chiloé,10206,Puqueldón,4048.0,Total nacidos fuera del país,0,0.0
10,Los Lagos,Chiloé,10207,Queilén,5690.0,Total nacidos fuera del país,76,1.34
10,Los Lagos,Chiloé,10208,Quellón,28460.0,Total nacidos fuera del país,1234,4.34
10,Los Lagos,Chiloé,10209,Quemchi,8409.0,Total nacidos fuera del país,130,1.55
10,Los Lagos,Chiloé,10210,Quinchao,7678.0,Total nacidos fuera del país,72,0.94
10,Los Lagos,Osorno,10301,Osorno,166455.0,Total nacidos fuera del país,3779,2.27
10,Los Lagos,Osorno,10302,Puerto Octay,8865.0,Total nacidos fuera del país,165,1.86
10,Los Lagos,Osorno,10303,Purranque,19542.0,Total nacidos fuera del país,229,1.17
10,Los Lagos,Osorno,10304,Puyehue,11712.0,Total nacidos fuera del país,191,1.63
10,Los Lagos,Osorno,10305,Río Negro,13874.0,Total nacidos fuera del país,107,0.77
10,Los Lagos,Osorno,10306,San Juan de la Costa,7776.0,Total nacidos fuera del país,0,0.0
10,Los Lagos,Osorno,10307,San Pablo,10883.0,Total nacidos fuera del país,96,0.88
10,Los Lagos,Palena,10401,Chaitén,4025.0,Total nacidos fuera del país,110,2.73
10,Los Lagos,Palena,10402,Futaleufú,3062.0,Total nacidos fuera del país,324,10.58
10,Los Lagos,Palena,10403,Hualaihué,9480.0,Total nacidos fuera del país,155,1.64
10,Los Lagos,Palena,10404,Palena,1903.0,Total nacidos fuera del país,88,4.62
